Calculation 1: Highest Budget and IMDb Rating
"Category, Title, Budget"
Highest Budget Movie,Mission: Impossible - The Final Reckoning,400000000
"Category, Title, Rating"
Highest Rated Movie,Inception,8.8

Calculation 2: Average IMDb Rating by Genre
"Genre, IMDb Rating"
Animation,7.8
Action,7.8
Adventure,7.8
Sci-Fi,6.5
Thriller,8.5
Drama,5.6
Crime,7.5
Fantasy,6.2
Horror,6.2
Romance,6.2
Family,7.1
Musical,7.1
Comedy,5.6
Mystery,5.4
Sport,7.7
Biography,6.1
Music,6.2
History,7.0

Calculation 3: Movie Trailer Popularity vs Budget
"Title, Budget, Total_Views, Total_Likes, Total_Comments"
Avatar,237000000,30057867,612525,34516
Avatar: Fire and Ash,400000000,30057867,612525,34516
It,35000000,57657404,384560,16294
Now You See Me: Now You Don't,90000000,19525484,254098,12159
Five Nights at Freddy's,20000000,15512693,569963,33986
TRON: Ares,220000000,13632020,185034,14902
Bugonia,50000000,14879373,55099,3341
Die My Love,20000000,11362262,18156,783
The Conjuring: Last Rites,55000000,25516811,225967,6706
Frankenstein,120000000,13155104,176820,7590
Jay Kelly,0,3833282,28706,1520
Troll 2,11200000,2434998,24323,2209
Five Nights at Freddy's 2,36000000,15512693,569963,33986
Roofman,18000000,14152776,58546,3443
Playdate,0,22075760,76053,3509
Dhurandhar,0,3509,100,0
Altered,15000000,24507,344,20
Regretting You,30000000,3351533,9141,346
